timestamp,cpu_time,time (s),T(t) (K),P(t) (Pa),Kinetic En. (n.u.),Potential En. (n.u.),Total En. (n.u.)
1653354789, 12427.0000, 1.0000e-14, 1493.33374638, 0.00000000, 0.00000000, -7.06347925, -7.06347925 
1653354790, 10977.0000, 2.2600e-13, 1467.42960665, 60888401.89975867, 0.00000000, 1826.29523915, 1826.29523915 
1653354791, 12310.0000, 4.5800e-13, 1495.79805774, 152328706.55693886, 0.00000000, 382536.68276651, 382536.68276651 
1653354792, 10267.0000, 6.4400e-13, 1493.17156956, 0.00000000, 0.00000000, 15354.77102433, 15354.77102433 
1653354793, 10751.0000, 8.4000e-13, 1495.15372485, 0.00000000, 0.00000000, 212.20662804, 212.20662804 
1653354794, 10628.0000, 1.0620e-12, 1495.63132784, 208745365.57550374, 0.00000000, 779914.90530732, 779914.90530732 
1653354795, 10885.0000, 1.1940e-12, 1496.23698624, 0.00000000, 0.00000000, 38851.63758241, 38851.63758241 
1653354796, 10909.0000, 1.3840e-12, 1492.17086026, 0.00000000, 0.00000000, 707.34641358, 707.34641358 
1653354797, 9274.0000, 1.5960e-12, 1491.31739679, 0.00000000, 0.00000000, 74085498.96364115, 74085498.96364115 
1653354798, 9592.0000, 1.8060e-12, 1494.58721199, 0.00000000, 0.00000000, 91.22437512, 91.22437512 
1653354799, 11537.0000, 2.0060e-12, 1495.85455128, 0.00000000, 0.00000000, 58.00903940, 58.00903940 
1653354800, 12050.0000, 2.2020e-12, 1494.84564401, 0.00000000, 0.00000000, 9397.57328537, 9397.57328537 
1653354801, 9591.0000, 2.4260e-12, 1494.73796090, 0.00000000, 0.00000000, 30.20272741, 30.20272741 
1653354802, 9258.0000, 2.6780e-12, 1495.01048408, 0.00000000, 0.00000000, 27316172.83089237, 27316172.83089237 
1653354803, 10507.0000, 2.9320e-12, 1491.70059091, 0.00000000, 0.00000000, 29649779.46168862, 29649779.46168862 
1653354804, 10743.0000, 3.1280e-12, 1495.64112616, 0.00000000, 0.00000000, 12410.49519286, 12410.49519286 
1653354805, 13349.0000, 3.3180e-12, 1495.47153712, 0.00000000, 0.00000000, 46.10858187, 46.10858187 
1653354806, 10976.0000, 3.4880e-12, 1495.43662060, 0.00000000, 0.00000000, 54414613.59618311, 54414613.59618311 
1653354807, 8764.0000, 3.6780e-12, 1495.40959991, 0.00000000, 0.00000000, 7967.25929142, 7967.25929142 
1653354808, 10283.0000, 3.9220e-12, 1493.04245062, 0.00000000, 0.00000000, 4991334.55587640, 4991334.55587640 
1653354809, 9170.0000, 4.1600e-12, 1490.31759446, 0.00000000, 0.00000000, 280.11607242, 280.11607242 
1653354810, 11045.0000, 4.3520e-12, 1494.63350758, 0.00000000, 0.00000000, 2035366.70667442, 2035366.70667442 
1653354811, 11540.0000, 4.5700e-12, 1494.04618370, 59868484.04940021, 0.00000000, 446523.14378148, 446523.14378148 
1653354812, 10492.0000, 4.7560e-12, 1494.87219044, 92046522.48142834, 0.00000000, 22.82552430, 22.82552430 
1653354813, 12557.0000, 4.9120e-12, 1488.51382035, 0.00000000, 0.00000000, 6316.88546536, 6316.88546536 
1653354814, 13005.0000, 5.0280e-12, 1492.00545491, 0.00000000, 0.00000000, 3162813.52332736, 3162813.52332736 
1653354815, 11841.0000, 5.1400e-12, 1495.01531036, 0.00000000, 0.00000000, 27073.55641040, 27073.55641040 
1653354816, 11149.0000, 5.2480e-12, 1495.82438024, 0.00000000, 0.00000000, -38.92292310, -38.92292310 
1653354817, 9491.0000, 5.3860e-12, 1495.08340484, 0.00000000, 0.00000000, 362479.90035116, 362479.90035116 
