timestamp,cpu_time,time (s),T(t) (K),P(t) (Pa),Kinetic En. (n.u.),Potential En. (n.u.),Total En. (n.u.)
1651423451, 56512.0000, 2.2000e-14, 1497.00200126, 0.00000000, 0.00000000, -7.72188699, -7.72188699 
1651423452, 62700.0000, 5.2000e-14, 1497.01224724, 0.00000000, 0.00000000, -10.39508684, -10.39508684 
1651423453, 60488.0000, 8.0000e-14, 1497.05133324, 0.00000000, 0.00000000, -21.83590593, -21.83590593 
1651423454, 57714.0000, 1.1000e-13, 1493.15594558, 0.00000000, 0.00000000, 933.89876330, 933.89876330 
1651423455, 59263.0000, 1.3800e-13, 1493.01848899, 0.00000000, 0.00000000, 854.24952949, 854.24952949 
1651423456, 59709.0000, 1.6600e-13, 1494.92919841, 111114228.71512303, 0.00000000, 4838.67504629, 4838.67504629 
1651423457, 56424.0000, 1.9600e-13, 1495.30471108, 47214697.20178287, 0.00000000, 1816894.82682121, 1816894.82682121 
1651423458, 56553.0000, 2.2400e-13, 1496.72888267, 41384241.12367366, 0.00000000, 81164.70904728, 81164.70904728 
1651423459, 56747.0000, 2.5400e-13, 1495.26731615, 72765169.59969185, 0.00000000, 3374183.68372949, 3374183.68372949 
1651423460, 55812.0000, 2.8200e-13, 1493.72340036, 0.00000000, 0.00000000, 185939.96610296, 185939.96610296 
1651423461, 60676.0000, 3.1200e-13, 1496.37504786, 0.00000000, 0.00000000, 3192.41852149, 3192.41852149 
1651423462, 61006.0000, 3.4000e-13, 1494.00042163, 0.00000000, 0.00000000, 390.52196285, 390.52196285 
1651423463, 58287.0000, 3.6800e-13, 1491.92260440, 0.00000000, 0.00000000, 895.53952623, 895.53952623 
1651423464, 57369.0000, 3.9800e-13, 1496.12153318, 0.00000000, 0.00000000, 2626.71691592, 2626.71691592 
1651423465, 59121.0000, 4.2800e-13, 1491.26257380, 0.00000000, 0.00000000, 6110.49091928, 6110.49091928 
1651423466, 60407.0000, 4.5600e-13, 1495.74489474, 20135159.75793066, 0.00000000, 361138.43003015, 361138.43003015 
1651423467, 57193.0000, 4.8600e-13, 1496.54825095, 0.00000000, 0.00000000, 89844.09592667, 89844.09592667 
1651423468, 61428.0000, 5.1400e-13, 1495.22675119, 0.00000000, 0.00000000, 15361280618.43423843, 15361280618.43423843 
1651423469, 60225.0000, 5.4200e-13, 1492.30590478, 0.00000000, 0.00000000, 6867250.60035231, 6867250.60035231 
1651423470, 57734.0000, 5.7200e-13, 1493.96152384, 48578236.49452484, 0.00000000, 3347693.76854163, 3347693.76854163 
1651423471, 58315.0000, 6.0000e-13, 1489.06179245, 46327883.38220178, 0.00000000, 385421929.51816112, 385421929.51816112 
1651423472, 59108.0000, 6.3000e-13, 1496.81115532, 0.00000000, 0.00000000, 719667.07621710, 719667.07621710 
1651423473, 56136.0000, 6.5800e-13, 1493.83277742, 0.00000000, 0.00000000, 764352.03551090, 764352.03551090 
1651423474, 62612.0000, 6.8800e-13, 1495.38676437, 40432440.55581558, 0.00000000, 22352.63487109, 22352.63487109 
1651423475, 57073.0000, 7.1600e-13, 1496.39678796, 12945646.80395369, 0.00000000, 453814.80280080, 453814.80280080 
1651423476, 57181.0000, 7.4400e-13, 1495.21653352, 0.00000000, 0.00000000, 429989.18409919, 429989.18409919 
1651423477, 61701.0000, 7.7400e-13, 1494.80918385, 35950670.13553859, 0.00000000, 19471341.84488347, 19471341.84488347 
1651423478, 57744.0000, 8.0200e-13, 1495.37883501, 38681683.96790057, 0.00000000, 258721733.05682355, 258721733.05682355 
1651423479, 56951.0000, 8.3200e-13, 1494.76646722, 33510669.12434357, 0.00000000, 135764.42932000, 135764.42932000 
1651423480, 56275.0000, 8.6000e-13, 1497.17865352, 86253352.22021133, 0.00000000, 44654.87958362, 44654.87958362 
1651423481, 58582.0000, 8.9000e-13, 1496.25821967, 0.00000000, 0.00000000, 11653.76234888, 11653.76234888 
1651423482, 59177.0000, 9.1800e-13, 1496.33202732, 20196606.80860442, 0.00000000, 4344.49555424, 4344.49555424 
1651423483, 59134.0000, 9.4800e-13, 1496.52180146, 0.00000000, 0.00000000, 547.88953849, 547.88953849 
1651423484, 62425.0000, 9.7600e-13, 1494.35284249, 47499466.21143730, 0.00000000, 15489.16096003, 15489.16096003 
1651423485, 59632.0000, 1.0040e-12, 1491.63859907, 0.00000000, 0.00000000, 8628.44699369, 8628.44699369 
1651423486, 58166.0000, 1.0340e-12, 1490.56239550, 45329119.43449050, 0.00000000, 1113.60693931, 1113.60693931 
1651423487, 60125.0000, 1.0620e-12, 1491.45699286, 0.00000000, 0.00000000, 12311.80763677, 12311.80763677 
1651423488, 56990.0000, 1.0920e-12, 1493.98659659, 50965487.75098260, 0.00000000, 68783.20378035, 68783.20378035 
1651423489, 59318.0000, 1.1200e-12, 1496.58307627, 0.00000000, 0.00000000, 113416.14077277, 113416.14077277 
1651423490, 57998.0000, 1.1500e-12, 1495.25173574, 56622186.32747796, 0.00000000, 332921.26312495, 332921.26312495 
1651423491, 65437.0000, 1.1780e-12, 1497.09450827, 0.00000000, 0.00000000, 4259.96879925, 4259.96879925 
1651423492, 59607.0000, 1.2080e-12, 1495.09880701, 0.00000000, 0.00000000, 445.66298829, 445.66298829 
1651423493, 60728.0000, 1.2360e-12, 1490.20845859, 0.00000000, 0.00000000, 2764.41441900, 2764.41441900 
1651423494, 60354.0000, 1.2640e-12, 1494.46074677, 0.00000000, 0.00000000, 40357.05061235, 40357.05061235 
1651423495, 60594.0000, 1.2940e-12, 1496.44469019, 130338489.48652039, 0.00000000, 342.86366159, 342.86366159 
1651423496, 61199.0000, 1.3220e-12, 1493.36887169, 0.00000000, 0.00000000, 17353.45695950, 17353.45695950 
1651423497, 57460.0000, 1.3500e-12, 1489.36162031, 0.00000000, 0.00000000, 36552.32134814, 36552.32134814 
1651423498, 57828.0000, 1.3800e-12, 1491.48800095, 0.00000000, 0.00000000, 3098.82612783, 3098.82612783 
1651423499, 57207.0000, 1.4080e-12, 1494.02609577, 32468428.15299838, 0.00000000, 1249.80870946, 1249.80870946 
1651423500, 60767.0000, 1.4380e-12, 1495.04573051, 46155531.51189373, 0.00000000, 553.16980184, 553.16980184 
1651423501, 57920.0000, 1.4660e-12, 1495.22156657, 50785204.84344450, 0.00000000, 406.56980370, 406.56980370 
1651423502, 64241.0000, 1.4940e-12, 1494.41742217, 0.00000000, 0.00000000, 459.68855072, 459.68855072 
1651423503, 58781.0000, 1.5240e-12, 1496.93947341, 0.00000000, 0.00000000, 125.44621364, 125.44621364 
1651423504, 59511.0000, 1.5520e-12, 1496.59051218, 0.00000000, 0.00000000, 4700.31347466, 4700.31347466 
1651423505, 58969.0000, 1.5800e-12, 1491.30144415, 0.00000000, 0.00000000, 13803350.63594203, 13803350.63594203 
1651423506, 57878.0000, 1.6100e-12, 1492.55539824, 0.00000000, 0.00000000, 310694.67650302, 310694.67650302 
1651423507, 60952.0000, 1.6380e-12, 1494.92251278, 0.00000000, 0.00000000, 11568.34163710, 11568.34163710 
1651423508, 56711.0000, 1.6680e-12, 1493.59189001, 0.00000000, 0.00000000, 58817.57555772, 58817.57555772 
1651423509, 59943.0000, 1.6960e-12, 1496.08541531, 0.00000000, 0.00000000, 18606.02909014, 18606.02909014 
1651423510, 59339.0000, 1.7260e-12, 1492.90728018, 0.00000000, 0.00000000, 3228.33769836, 3228.33769836 
1651423511, 60738.0000, 1.7540e-12, 1492.91688182, 69019157.28644803, 0.00000000, 9166.62968459, 9166.62968459 
1651423512, 58195.0000, 1.7840e-12, 1496.28131662, 0.00000000, 0.00000000, 1842698.72313267, 1842698.72313267 
1651423513, 58372.0000, 1.8120e-12, 1495.22746708, 71195338.04158889, 0.00000000, 2308.27654651, 2308.27654651 
1651423514, 60775.0000, 1.8420e-12, 1495.96004400, 0.00000000, 0.00000000, 6870.02260964, 6870.02260964 
1651423515, 54745.0000, 1.8700e-12, 1496.37615726, 0.00000000, 0.00000000, 12951642.50176447, 12951642.50176447 
1651423516, 58847.0000, 1.9000e-12, 1486.61222029, 0.00000000, 0.00000000, 877508.27333812, 877508.27333812 
1651423517, 59246.0000, 1.9280e-12, 1493.68964453, 0.00000000, 0.00000000, 7882.27960056, 7882.27960056 
1651423518, 58342.0000, 1.9560e-12, 1495.90868659, 0.00000000, 0.00000000, 587.70684428, 587.70684428 
1651423519, 61570.0000, 1.9860e-12, 1496.38491685, 0.00000000, 0.00000000, 774.61463945, 774.61463945 
1651423520, 58832.0000, 2.0140e-12, 1496.56080769, 0.00000000, 0.00000000, 12713632.11963513, 12713632.11963513 
1651423521, 61085.0000, 2.0440e-12, 1495.99617937, 0.00000000, 0.00000000, 53462288.71572292, 53462288.71572292 
1651423522, 59697.0000, 2.0720e-12, 1494.37324791, 0.00000000, 0.00000000, 652459.21145906, 652459.21145906 
1651423523, 60893.0000, 2.1000e-12, 1491.82141459, 0.00000000, 0.00000000, 616379.80070887, 616379.80070887 
1651423524, 58419.0000, 2.1280e-12, 1493.48375417, 0.00000000, 0.00000000, 127235.60816144, 127235.60816144 
1651423525, 57182.0000, 2.1560e-12, 1495.46636731, 0.00000000, 0.00000000, 114963.85126122, 114963.85126122 
1651423526, 56479.0000, 2.1860e-12, 1494.76050557, 76366851.40121575, 0.00000000, 35660292.54516096, 35660292.54516096 
1651423527, 57625.0000, 2.2140e-12, 1497.12950979, 0.00000000, 0.00000000, 175580786.97562158, 175580786.97562158 
1651423528, 58011.0000, 2.2420e-12, 1490.62218213, 21443846.84312647, 0.00000000, 1196869.29881825, 1196869.29881825 
1651423529, 60060.0000, 2.2720e-12, 1496.77838929, 0.00000000, 0.00000000, 1675614.86167766, 1675614.86167766 
1651423530, 61272.0000, 2.3000e-12, 1494.13533527, 0.00000000, 0.00000000, 125712.94550828, 125712.94550828 
1651423531, 58489.0000, 2.3280e-12, 1497.00958059, 71345264.06922601, 0.00000000, 428810.83790782, 428810.83790782 
1651423532, 61276.0000, 2.3580e-12, 1493.43276264, 16854370.32371758, 0.00000000, 340160.50942516, 340160.50942516 
1651423533, 61277.0000, 2.3860e-12, 1496.59611100, 11598109.93589241, 0.00000000, 362570.83944186, 362570.83944186 
1651423534, 58509.0000, 2.4140e-12, 1495.01940446, 0.00000000, 0.00000000, 2628.41045631, 2628.41045631 
1651423535, 62082.0000, 2.4420e-12, 1487.49182153, 0.00000000, 0.00000000, 23560.33119680, 23560.33119680 
1651423536, 63192.0000, 2.4700e-12, 1492.53340489, 107654242.10866815, 0.00000000, 951.61151471, 951.61151471 
1651423537, 64341.0000, 2.5000e-12, 1496.10104999, 0.00000000, 0.00000000, 334902.23652819, 334902.23652819 
1651423538, 58797.0000, 2.5280e-12, 1494.14609672, 70465049.54504737, 0.00000000, 248699.03303888, 248699.03303888 
1651423539, 57597.0000, 2.5580e-12, 1492.33446466, 0.00000000, 0.00000000, 946540.06621944, 946540.06621944 
1651423540, 61357.0000, 2.5860e-12, 1494.85506214, 96580529.70350765, 0.00000000, 406.16668383, 406.16668383 
1651423541, 57661.0000, 2.6140e-12, 1488.83275820, 0.00000000, 0.00000000, 1116.62807614, 1116.62807614 
1651423542, 58002.0000, 2.6440e-12, 1493.79785110, 73700433.96139973, 0.00000000, 424.09443812, 424.09443812 
1651423543, 58442.0000, 2.6720e-12, 1487.16756733, 0.00000000, 0.00000000, 2854.67792332, 2854.67792332 
1651423544, 57202.0000, 2.7020e-12, 1486.37884977, 0.00000000, 0.00000000, 1559.66104921, 1559.66104921 
1651423545, 61205.0000, 2.7320e-12, 1496.47369261, 0.00000000, 0.00000000, 728.87618945, 728.87618945 
1651423546, 57026.0000, 2.7600e-12, 1491.01166978, 0.00000000, 0.00000000, 9342.14920133, 9342.14920133 
1651423547, 60426.0000, 2.7900e-12, 1497.23246368, 66905558.43361530, 0.00000000, 16563.45390053, 16563.45390053 
1651423548, 57848.0000, 2.8180e-12, 1496.87946319, 0.00000000, 0.00000000, 224392399.37770319, 224392399.37770319 
1651423549, 57166.0000, 2.8480e-12, 1494.61212887, 41116108.47820156, 0.00000000, 14935.06527340, 14935.06527340 
1651423550, 58917.0000, 2.8760e-12, 1495.87094268, 88567952.93785216, 0.00000000, 37678652.12370074, 37678652.12370074 
1651423551, 55445.0000, 2.9060e-12, 1490.24792612, 61861058.43446561, 0.00000000, 11947.83361919, 11947.83361919 
1651423552, 56775.0000, 2.9340e-12, 1493.79612703, 0.00000000, 0.00000000, 22768.57657342, 22768.57657342 
1651423553, 60073.0000, 2.9620e-12, 1495.84323827, 0.00000000, 0.00000000, 2861.07441363, 2861.07441363 
1651423554, 57313.0000, 2.9900e-12, 1494.87466173, 86025515.07255638, 0.00000000, 943.83514322, 943.83514322 
1651423555, 63825.0000, 3.0200e-12, 1493.51026510, 37393333.74583041, 0.00000000, 32237.33801007, 32237.33801007 
1651423556, 59069.0000, 3.0480e-12, 1491.92048546, 45661445.91565154, 0.00000000, 62858.59451577, 62858.59451577 
1651423557, 58802.0000, 3.0760e-12, 1496.24036218, 0.00000000, 0.00000000, 642034848.85399652, 642034848.85399652 
1651423558, 58169.0000, 3.1060e-12, 1495.69575498, 0.00000000, 0.00000000, 9884.23737519, 9884.23737519 
1651423559, 58674.0000, 3.1340e-12, 1496.39515509, 111656296.44323806, 0.00000000, 8573.24924453, 8573.24924453 
1651423560, 59911.0000, 3.1620e-12, 1491.39709886, 0.00000000, 0.00000000, 30159.76692499, 30159.76692499 
1651423561, 59482.0000, 3.1920e-12, 1493.86138953, 38759234.44010462, 0.00000000, 14182.01136536, 14182.01136536 
1651423562, 56877.0000, 3.2220e-12, 1494.89169407, 20671021.67942327, 0.00000000, 159725.19862117, 159725.19862117 
1651423563, 57134.0000, 3.2520e-12, 1492.18822673, 0.00000000, 0.00000000, 2237.64623158, 2237.64623158 
1651423564, 61257.0000, 3.2800e-12, 1493.43639715, 24916839.37134057, 0.00000000, 951.04024447, 951.04024447 
