timestamp,cpu_time,time (s),T(t) (K),P(t) (Pa),Kinetic En. (n.u.),Potential En. (n.u.),Total En. (n.u.)
1651427177, 55722.0000, 1.2380e-12, 1496.77521153, 119665111.32010448, 0.00000000, 16252748.46519821, 16252748.46519821 
1651427178, 51654.0000, 1.2640e-12, 1496.18502921, 36679451.42150244, 0.00000000, 2866744.44710488, 2866744.44710488 
1651427179, 53632.0000, 1.2900e-12, 1494.87059649, 41016263.07809733, 0.00000000, 1826063981.75848889, 1826063981.75848889 
1651427180, 57351.0000, 1.3180e-12, 1497.02283595, 0.00000000, 0.00000000, 14445.77814245, 14445.77814245 
1651427181, 55631.0000, 1.3460e-12, 1491.75241232, 0.00000000, 0.00000000, 149241744394.35543823, 149241744394.35543823 
1651427182, 55615.0000, 1.3720e-12, 1495.97527451, 0.00000000, 0.00000000, 60893.60164381, 60893.60164381 
1651427183, 51915.0000, 1.4000e-12, 1488.95949985, 43453883.90548732, 0.00000000, 11590.67088296, 11590.67088296 
1651427184, 55612.0000, 1.4280e-12, 1488.73136052, 69190888.41981168, 0.00000000, 523519.75891931, 523519.75891931 
1651427185, 54554.0000, 1.4540e-12, 1496.19896048, 94247188.97219518, 0.00000000, 293.16157839, 293.16157839 
1651427186, 55383.0000, 1.4820e-12, 1493.67793885, 0.00000000, 0.00000000, 703.66765744, 703.66765744 
1651427187, 64181.0000, 1.5080e-12, 1494.02520735, 0.00000000, 0.00000000, 3220.98386803, 3220.98386803 
1651427188, 62499.0000, 1.5360e-12, 1494.70576975, 30186691.74657613, 0.00000000, 843665.37113492, 843665.37113492 
1651427189, 56244.0000, 1.5620e-12, 1494.14184314, 28212830.66620768, 0.00000000, 60502.80738013, 60502.80738013 
1651427190, 53460.0000, 1.5900e-12, 1493.06937089, 0.00000000, 0.00000000, 7489.18788105, 7489.18788105 
1651427191, 55852.0000, 1.6180e-12, 1495.13415465, 91725938.32198541, 0.00000000, 7485.18733088, 7485.18733088 
1651427192, 57524.0000, 1.6460e-12, 1496.98526291, 0.00000000, 0.00000000, 15954.34948249, 15954.34948249 
1651427193, 58863.0000, 1.6740e-12, 1496.23004156, 0.00000000, 0.00000000, 949158.93574736, 949158.93574736 
1651427194, 56384.0000, 1.7000e-12, 1494.20758080, 91957335.45893718, 0.00000000, 9599.41892479, 9599.41892479 
1651427195, 53104.0000, 1.7280e-12, 1496.17440190, 0.00000000, 0.00000000, 209654.85728275, 209654.85728275 
1651427196, 55149.0000, 1.7560e-12, 1496.94075169, 0.00000000, 0.00000000, 62790266.80591131, 62790266.80591131 
1651427197, 57131.0000, 1.7820e-12, 1494.64605064, 0.00000000, 0.00000000, 452532.12700175, 452532.12700175 
1651427198, 53469.0000, 1.8100e-12, 1494.56882595, 66627717.85383850, 0.00000000, 8946069.44841000, 8946069.44841000 
1651427199, 57242.0000, 1.8380e-12, 1492.68009595, 0.00000000, 0.00000000, 130195333.91483706, 130195333.91483706 
1651427200, 55298.0000, 1.8660e-12, 1494.67836498, 0.00000000, 0.00000000, 14535026.78473656, 14535026.78473656 
1651427201, 57485.0000, 1.8920e-12, 1496.79057373, 112677834.58516057, 0.00000000, 317340.51890057, 317340.51890057 
1651427202, 58601.0000, 1.9200e-12, 1497.13595868, 29946624.93173089, 0.00000000, 12297675.64162316, 12297675.64162316 
1651427203, 53561.0000, 1.9460e-12, 1492.38599474, 48802566.75719133, 0.00000000, 7963.46173192, 7963.46173192 
1651427204, 55061.0000, 1.9740e-12, 1496.07878304, 32839923.90679030, 0.00000000, 21030.37380014, 21030.37380014 
1651427205, 54979.0000, 2.0020e-12, 1494.40951290, 0.00000000, 0.00000000, 1424913.51024439, 1424913.51024439 
1651427206, 54962.0000, 2.0280e-12, 1492.84782809, 32369511.79317100, 0.00000000, 786.84138066, 786.84138066 
1651427207, 59137.0000, 2.0560e-12, 1490.82031080, 0.00000000, 0.00000000, 52634.49870930, 52634.49870930 
1651427208, 57781.0000, 2.0840e-12, 1491.89581040, 0.00000000, 0.00000000, 195057.60636329, 195057.60636329 
1651427209, 53857.0000, 2.1100e-12, 1494.75303415, 0.00000000, 0.00000000, 18097938.02858688, 18097938.02858688 
