timestamp,cpu_time,time (s),T(t) (K),P(t) (Pa),Kinetic En. (n.u.),Potential En. (n.u.),Total En. (n.u.)
1653356126, 8095.0000, 2.4400e-13, 1703.24379327, 56103503.79592834, 0.00000000, 41987.40156847, 41987.40156847 
1653356127, 8244.0000, 4.9200e-13, 1706.81860260, 0.00000000, 0.00000000, 2536.80314107, 2536.80314107 
1653356128, 7694.0000, 7.4000e-13, 1694.14295324, 0.00000000, 0.00000000, 9257.10530059, 9257.10530059 
1653356129, 7728.0000, 1.0260e-12, 1704.03234870, 0.00000000, 0.00000000, 35788.94638421, 35788.94638421 
1653356130, 7788.0000, 1.3080e-12, 1704.16009559, 0.00000000, 0.00000000, 28302.45142693, 28302.45142693 
1653356131, 7796.0000, 1.5940e-12, 1708.29287320, 0.00000000, 0.00000000, 418.84764675, 418.84764675 
1653356132, 7253.0000, 1.8760e-12, 1708.23726376, 0.00000000, 0.00000000, 192.19846283, 192.19846283 
1653356133, 7888.0000, 2.1580e-12, 1707.90101147, 0.00000000, 0.00000000, 114696521.72319521, 114696521.72319521 
1653356134, 8935.0000, 2.4340e-12, 1696.05286906, 176716065.48806381, 0.00000000, 4902.89098195, 4902.89098195 
1653356135, 7118.0000, 2.6820e-12, 1703.67513944, 0.00000000, 0.00000000, 1781.44559025, 1781.44559025 
1653356136, 6783.0000, 2.9800e-12, 1693.38582414, 0.00000000, 0.00000000, 1440.17106517, 1440.17106517 
1653356137, 9503.0000, 3.2380e-12, 1706.73883655, 0.00000000, 0.00000000, 42315.63812665, 42315.63812665 
1653356138, 8043.0000, 3.4660e-12, 1705.54584847, 0.00000000, 0.00000000, 37863.67732915, 37863.67732915 
1653356139, 8337.0000, 3.7320e-12, 1700.12990064, 0.00000000, 0.00000000, 1016239.16557435, 1016239.16557435 
1653356140, 6982.0000, 3.9940e-12, 1697.33267017, 182729708.22286478, 0.00000000, 637.19334100, 637.19334100 
1653356141, 7370.0000, 4.3040e-12, 1703.72164500, 0.00000000, 0.00000000, 337.17343541, 337.17343541 
1653356142, 7153.0000, 4.6220e-12, 1709.06479970, 140590593.07559696, 0.00000000, 2812586870034.96386719, 2812586870034.96386719 
1653356143, 7663.0000, 4.9420e-12, 1706.81515017, 0.00000000, 0.00000000, 2218.24908293, 2218.24908293 
1653356144, 6910.0000, 5.2560e-12, 1706.84890891, 0.00000000, 0.00000000, 11989.69032199, 11989.69032199 
1653356145, 7159.0000, 5.5640e-12, 1704.95352894, 0.00000000, 0.00000000, 5827.17578475, 5827.17578475 
1653356146, 7138.0000, 5.8740e-12, 1709.84799536, 0.00000000, 0.00000000, 6.18240967, 6.18240967 
1653356147, 9787.0000, 6.1440e-12, 1710.08341739, 57171519.75018154, 0.00000000, 6933.33618633, 6933.33618633 
1653356148, 8309.0000, 6.3960e-12, 1703.37623438, 0.00000000, 0.00000000, 1037014.45688017, 1037014.45688017 
1653356149, 9026.0000, 6.6600e-12, 1705.79804202, 62723916.61553156, 0.00000000, 7357.83163364, 7357.83163364 
1653356150, 7285.0000, 6.9540e-12, 1711.28256188, 0.00000000, 0.00000000, 11603485.74177721, 11603485.74177721 
1653356151, 8682.0000, 7.2520e-12, 1696.48934471, 0.00000000, 0.00000000, 1237252133.40707803, 1237252133.40707803 
1653356152, 8406.0000, 7.5180e-12, 1707.93803635, 0.00000000, 0.00000000, 538.13169318, 538.13169318 
1653356153, 8537.0000, 7.7720e-12, 1712.11289042, 0.00000000, 0.00000000, 65.78244316, 65.78244316 
