timestamp,cpu_time,time (s),T(t) (K),P(t) (Pa),Kinetic En. (n.u.),Potential En. (n.u.),Total En. (n.u.)
1653357991, 5840.0000, 2.2000e-14, 1485.00288680, 0.00000000, 0.00000000, -2.08875199, -2.08875199 
1653357992, 7184.0000, 1.2200e-13, 1485.16118753, 0.00000000, 0.00000000, -11.03018162, -11.03018162 
1653357993, 9894.0000, 1.5200e-13, 1485.25835489, 0.00000000, 0.00000000, 177.30922786, 177.30922786 
1653357994, 6210.0000, 2.0000e-13, 1482.48871334, 125856452.70055918, 0.00000000, 417.56654133, 417.56654133 
1653357995, 11080.0000, 2.4200e-13, 1485.42522230, 104351313.76109456, 0.00000000, 858040.12305377, 858040.12305377 
1653357996, 6157.0000, 2.6600e-13, 1482.19624624, 0.00000000, 0.00000000, 3338608.11273982, 3338608.11273982 
1653357997, 9505.0000, 2.9600e-13, 1480.66844113, 0.00000000, 0.00000000, 34891.42644396, 34891.42644396 
1653357998, 7781.0000, 3.2600e-13, 1485.88240500, 232919700.40862375, 0.00000000, 27823.57951317, 27823.57951317 
1653357999, 8534.0000, 3.8000e-13, 1484.21972279, 66736348.07802222, 0.00000000, 59514.94702079, 59514.94702079 
1653358000, 5727.0000, 4.4400e-13, 1485.57178877, 0.00000000, 0.00000000, 206.47523212, 206.47523212 
1653358001, 9683.0000, 4.8600e-13, 1485.72058858, 0.00000000, 0.00000000, 214189.48690614, 214189.48690614 
1653358002, 5754.0000, 5.3000e-13, 1484.62913665, 0.00000000, 0.00000000, 570748.36782744, 570748.36782744 
1653358003, 8854.0000, 5.6600e-13, 1481.16203152, 0.00000000, 0.00000000, 666.58435052, 666.58435052 
1653358004, 5386.0000, 6.3000e-13, 1485.86112220, 0.00000000, 0.00000000, 8779079.91784730, 8779079.91784730 
1653358005, 7972.0000, 6.8400e-13, 1485.66023017, 0.00000000, 0.00000000, 1830.84215352, 1830.84215352 
1653358006, 9136.0000, 7.2200e-13, 1485.37539932, 113475235.01246953, 0.00000000, 160.52213148, 160.52213148 
1653358007, 8386.0000, 7.5000e-13, 1485.53329093, 168058704.03931767, 0.00000000, 574.49724280, 574.49724280 
1653358008, 5956.0000, 7.9400e-13, 1483.76148935, 159555631.08652225, 0.00000000, 504.37048307, 504.37048307 
1653358009, 5779.0000, 8.2200e-13, 1483.95280945, 0.00000000, 0.00000000, 549013.96890202, 549013.96890202 
1653358010, 6006.0000, 8.8400e-13, 1485.47593442, 0.00000000, 0.00000000, -5.16324350, -5.16324350 
1653358011, 5570.0000, 9.5400e-13, 1485.78907935, 79786782.27739421, 0.00000000, 197.07240076, 197.07240076 
1653358012, 4419.0000, 1.0220e-12, 1483.74948531, 0.00000000, 0.00000000, 165.06659849, 165.06659849 
1653358013, 8072.0000, 1.0780e-12, 1482.69068866, 0.00000000, 0.00000000, 69.82761519, 69.82761519 
1653358014, 7689.0000, 1.1000e-12, 1484.84807814, 0.00000000, 0.00000000, 45.60892067, 45.60892067 
1653358015, 8058.0000, 1.1360e-12, 1484.23249328, 0.00000000, 0.00000000, 2902.45708239, 2902.45708239 
1653358016, 6057.0000, 1.1660e-12, 1471.81045174, 107169161.63675569, 0.00000000, 569.55098105, 569.55098105 
1653358017, 4655.0000, 1.2100e-12, 1484.51928157, 0.00000000, 0.00000000, 21.63222283, 21.63222283 
1653358018, 4185.0000, 1.2660e-12, 1485.22745589, 0.00000000, 0.00000000, 0.17244458, 0.17244458 
1653358019, 6327.0000, 1.3020e-12, 1485.15959711, 0.00000000, 0.00000000, 0.37861567, 0.37861567 
1653358020, 9113.0000, 1.3340e-12, 1486.02301349, 0.00000000, 0.00000000, 288.39901352, 288.39901352 
1653358021, 4510.0000, 1.3700e-12, 1485.88598100, 0.00000000, 0.00000000, -22.92085544, -22.92085544 
1653358022, 6677.0000, 1.3880e-12, 1480.00371597, 0.00000000, 0.00000000, 727.00063346, 727.00063346 
1653358023, 7443.0000, 1.4060e-12, 1484.20844351, 0.00000000, 0.00000000, 41280.42374888, 41280.42374888 
1653358024, 6782.0000, 1.4360e-12, 1483.72774357, 0.00000000, 0.00000000, 2258479.97341163, 2258479.97341163 
1653358025, 7030.0000, 1.4540e-12, 1448.83012679, 0.00000000, 0.00000000, 2294751585.85022497, 2294751585.85022497 
1653358026, 8568.0000, 1.4680e-12, 1485.23591199, 0.00000000, 0.00000000, 1530727202.41569996, 1530727202.41569996 
1653358027, 8478.0000, 1.4840e-12, 1461.82243394, 0.00000000, 0.00000000, 3005648.46320118, 3005648.46320118 
1653358028, 4734.0000, 1.5040e-12, 1482.78435871, 0.00000000, 0.00000000, 405613645.64951950, 405613645.64951950 
1653358029, 6272.0000, 1.5240e-12, 1485.89974924, 0.00000000, 0.00000000, 12128948.56212375, 12128948.56212375 
1653358030, 5744.0000, 1.5500e-12, 1485.16702319, 0.00000000, 0.00000000, 1311.17903335, 1311.17903335 
1653358031, 7658.0000, 1.5740e-12, 1485.40040551, 0.00000000, 0.00000000, 272.07281627, 272.07281627 
1653358032, 7374.0000, 1.6860e-12, 1484.27661496, 0.00000000, 0.00000000, 21494.66712301, 21494.66712301 
1653358033, 5974.0000, 1.7100e-12, 1485.93761411, 195603277.48684034, 0.00000000, 15267.28959363, 15267.28959363 
1653358034, 7667.0000, 1.7320e-12, 1485.14945569, 0.00000000, 0.00000000, 52.25353593, 52.25353593 
1653358035, 6648.0000, 1.7520e-12, 1484.29686562, 0.00000000, 0.00000000, 28.62534939, 28.62534939 
1653358036, 5458.0000, 1.7880e-12, 1485.93248672, 0.00000000, 0.00000000, 27.52327787, 27.52327787 
1653358037, 6076.0000, 1.8580e-12, 1486.03005931, 0.00000000, 0.00000000, -17.78620459, -17.78620459 
1653358038, 8054.0000, 1.9040e-12, 1485.19168484, 0.00000000, 0.00000000, 17.66182488, 17.66182488 
1653358039, 7510.0000, 1.9280e-12, 1474.51807510, 130934668.96464969, 0.00000000, 331.79223156, 331.79223156 
1653358040, 5055.0000, 1.9640e-12, 1483.99454973, 0.00000000, 0.00000000, 16.94544601, 16.94544601 
1653358041, 11354.0000, 1.9860e-12, 1485.44812696, 0.00000000, 0.00000000, -23.91857772, -23.91857772 
1653358042, 8117.0000, 2.0060e-12, 1485.28342413, 190591143.60803232, 0.00000000, -20.46349240, -20.46349240 
1653358043, 5863.0000, 2.0380e-12, 1485.25188990, 0.00000000, 0.00000000, -17.23995511, -17.23995511 
1653358044, 7554.0000, 2.0680e-12, 1484.93464138, 0.00000000, 0.00000000, -8.80910544, -8.80910544 
1653358045, 7493.0000, 2.0980e-12, 1484.52865974, 85192748.43654446, 0.00000000, 18.87621171, 18.87621171 
1653358046, 9728.0000, 2.1120e-12, 1485.21304481, 0.00000000, 0.00000000, 10.06561538, 10.06561538 
1653358047, 11625.0000, 2.1260e-12, 1481.99319158, 236877174.66410205, 0.00000000, 81.85975318, 81.85975318 
1653358048, 6998.0000, 2.1520e-12, 1485.17649671, 30548183.65692181, 0.00000000, -15.60603364, -15.60603364 
1653358049, 7544.0000, 2.1940e-12, 1485.34116429, 0.00000000, 0.00000000, -18.76953632, -18.76953632 
1653358050, 5646.0000, 2.2340e-12, 1480.07493081, 0.00000000, 0.00000000, 125.92234934, 125.92234934 
1653358051, 8561.0000, 2.2860e-12, 1485.04927351, 0.00000000, 0.00000000, 130.42684931, 130.42684931 
1653358052, 5510.0000, 2.3340e-12, 1478.84746068, 0.00000000, 0.00000000, 158.56654140, 158.56654140 
1653358053, 7107.0000, 2.4100e-12, 1458.08884574, 0.00000000, 0.00000000, 787.90166917, 787.90166917 
1653358054, 4167.0000, 2.4560e-12, 1485.09182844, 238976932.96098039, 0.00000000, -8.98688137, -8.98688137 
1653358055, 5077.0000, 2.5080e-12, 1483.72918159, 0.00000000, 0.00000000, 187.79071556, 187.79071556 
1653358056, 8054.0000, 2.5580e-12, 1455.68467986, 0.00000000, 0.00000000, 604304950.80676579, 604304950.80676579 
1653358057, 8889.0000, 2.5940e-12, 1485.17104494, 0.00000000, 0.00000000, 390706228.64417291, 390706228.64417291 
1653358058, 6522.0000, 2.6300e-12, 1485.11706048, 0.00000000, 0.00000000, 2419.92776550, 2419.92776550 
1653358059, 4853.0000, 2.6700e-12, 1483.09887736, 0.00000000, 0.00000000, 37.41615747, 37.41615747 
1653358060, 4748.0000, 2.7280e-12, 1482.09593444, 0.00000000, 0.00000000, 64.13658515, 64.13658515 
1653358061, 5478.0000, 2.7740e-12, 1485.35966477, 128635128.02270533, 0.00000000, -7.23819150, -7.23819150 
1653358062, 4447.0000, 2.8500e-12, 1482.73189857, 44451163.37519388, 0.00000000, 64.91335623, 64.91335623 
1653358063, 7755.0000, 2.9140e-12, 1477.27166807, 0.00000000, 0.00000000, 331.44572235, 331.44572235 
1653358064, 6398.0000, 2.9680e-12, 1481.31257611, 298471724.17212164, 0.00000000, 107.79346933, 107.79346933 
1653358065, 6518.0000, 3.0240e-12, 1485.97911031, 190362290.31874323, 0.00000000, 80.68851636, 80.68851636 
1653358066, 6483.0000, 3.0760e-12, 1477.01513529, 0.00000000, 0.00000000, 302.48229430, 302.48229430 
1653358067, 6134.0000, 3.1080e-12, 1483.94028152, 0.00000000, 0.00000000, 35.77338893, 35.77338893 
1653358068, 5135.0000, 3.1560e-12, 1485.90656836, 0.00000000, 0.00000000, -15.14205983, -15.14205983 
1653358069, 5765.0000, 3.2120e-12, 1485.63514504, 0.00000000, 0.00000000, 57.61212139, 57.61212139 
1653358070, 8606.0000, 3.2540e-12, 1483.45247357, 0.00000000, 0.00000000, 24259.27121441, 24259.27121441 
1653358071, 5941.0000, 3.3720e-12, 1476.82287894, 57365149.07099343, 0.00000000, 266.28092317, 266.28092317 
1653358072, 9810.0000, 3.4240e-12, 1486.84630756, 108166401.84610376, 0.00000000, 329.65547878, 329.65547878 
1653358073, 13282.0000, 3.4680e-12, 1484.39920692, 0.00000000, 0.00000000, 88.39195201, 88.39195201 
1653358074, 7004.0000, 3.5580e-12, 1485.09451029, 0.00000000, 0.00000000, 30.03119012, 30.03119012 
1653358075, 5320.0000, 3.5960e-12, 1486.70281199, 0.00000000, 0.00000000, -14.95898554, -14.95898554 
1653358076, 5364.0000, 3.6500e-12, 1486.96582198, 0.00000000, 0.00000000, 96.42091495, 96.42091495 
1653358077, 7290.0000, 3.7040e-12, 1483.32079235, 0.00000000, 0.00000000, 789496.25273666, 789496.25273666 
1653358078, 4114.0000, 3.7420e-12, 1486.63014297, 0.00000000, 0.00000000, 438985.18305852, 438985.18305852 
1653358079, 8545.0000, 3.7640e-12, 1483.24143259, 0.00000000, 0.00000000, 10849.31702201, 10849.31702201 
1653358080, 9378.0000, 3.7960e-12, 1486.83769105, 0.00000000, 0.00000000, 42.03750343, 42.03750343 
1653358081, 8982.0000, 3.8420e-12, 1486.30266314, 0.00000000, 0.00000000, -4.03217018, -4.03217018 
1653358082, 3841.0000, 3.8700e-12, 1483.66862520, 130574746.30667007, 0.00000000, 431.82299200, 431.82299200 
1653358083, 8061.0000, 3.9060e-12, 1486.44594196, 108573336.10906859, 0.00000000, 372418598472366.12500000, 372418598472366.12500000 
